GEOID,year,white
04013320001,2010,2478.0
04013320002,2010,319.0
04013320007,2010,3479.0
04013320100,2010,2197.0
04013420104,2010,3956.0
04013420105,2010,3790.0
04013420107,2010,5278.0
04013420108,2010,1227.0
04013420109,2010,3388.0
04013420110,2010,4578.0
04013420111,2010,3055.0
04013420112,2010,2539.0
04013420113,2010,2273.0
04013420114,2010,2396.0
04013420115,2010,1941.0
04013420116,2010,2560.0
04013420202,2010,3936.0
04013420206,2010,3565.0
04013420207,2010,2414.0
04013420208,2010,3889.0
04013420209,2010,3675.0
04013420210,2010,4154.0
04013420211,2010,3590.0
04013420212,2010,2286.0
04013420213,2010,2848.0
04013420214,2010,2379.0
04013420215,2010,1101.0
04013420216,2010,3467.0
04013420301,2010,1954.0
04013420302,2010,4452.0
04013420303,2010,3221.0
04013420304,2010,829.0
04013420401,2010,2273.0
04013420402,2010,1316.0
04013420501,2010,2885.0
04013420503,2010,2112.0
04013420504,2010,2602.0
04013420602,2010,3678.0
04013420603,2010,2708.0
04013420604,2010,3341.0
04013420704,2010,3487.0
04013420705,2010,2867.0
04013420706,2010,3458.0
04013420707,2010,2806.0
04013420708,2010,3399.0
04013420709,2010,3193.0
04013420710,2010,2421.0
04013420800,2010,3550.0
04013420901,2010,2118.0
04013420902,2010,2379.0
04013421001,2010,2549.0
04013421002,2010,1375.0
04013421101,2010,2563.0
04013421102,2010,3797.0
04013421201,2010,2473.0
04013421202,2010,1893.0
04013421302,2010,1731.0
04013421303,2010,1891.0
04013421304,2010,1005.0
04013421400,2010,1533.0
04013421501,2010,1319.0
04013421502,2010,1359.0
04013421601,2010,1417.0
04013421602,2010,1020.0
04013421701,2010,2413.0
04013421702,2010,1421.0
04013421801,2010,1139.0
04013421802,2010,1439.0
04013421901,2010,1392.0
04013421902,2010,1148.0
04013422001,2010,751.0
04013422002,2010,1047.0
04013422102,2010,1696.0
04013422103,2010,1940.0
04013422104,2010,2515.0
04013422105,2010,1351.0
04013422106,2010,1512.0
04013422107,2010,1788.0
04013422203,2010,2191.0
04013422204,2010,1844.0
04013422205,2010,1125.0
04013422209,2010,3995.0
04013422210,2010,3765.0
04013422211,2010,2030.0
04013422212,2010,3179.0
04013422213,2010,1581.0
04013422215,2010,1370.0
04013422216,2010,3763.0
04013422217,2010,2458.0
04013422218,2010,2123.0
04013422219,2010,1934.0
04013422220,2010,1491.0
04013422221,2010,2312.0
04013422222,2010,1304.0
04013422301,2010,1488.0
04013422302,2010,3249.0
04013422304,2010,1544.0
04013422305,2010,4803.0
04013422307,2010,3372.0
04013422308,2010,3715.0
04013422309,2010,3829.0
04013422401,2010,1624.0
04013422402,2010,3270.0
04013422403,2010,3605.0
04013422404,2010,3602.0
04013422501,2010,4038.0
04013422502,2010,3405.0
04013422503,2010,3942.0
04013422504,2010,3544.0
04013422506,2010,4194.0
04013422507,2010,4181.0
04013422508,2010,3006.0
04013422509,2010,3620.0
04013422510,2010,2495.0
04013422511,2010,2261.0
04013422512,2010,4725.0
04013422513,2010,3312.0
04013422514,2010,2555.0
04013422606,2010,7811.0
04013422607,2010,4375.0
04013422609,2010,2616.0
04013422610,2010,3029.0
04013422615,2010,4822.0
04013422616,2010,3560.0
04013422617,2010,5327.0
04013422618,2010,3153.0
04013422620,2010,3038.0
04013422621,2010,2993.0
04013422622,2010,2994.0
04013422623,2010,3686.0
04013422624,2010,3266.0
04013422625,2010,2842.0
04013422626,2010,1980.0
04013422627,2010,2550.0
04013422628,2010,2270.0
04013422629,2010,1998.0
04013422630,2010,3354.0
04013422631,2010,2563.0
04013422632,2010,2760.0
04013422633,2010,1865.0
04013422634,2010,3002.0
04013422635,2010,1618.0
04013422636,2010,1629.0
04013422637,2010,2457.0
04013422638,2010,2481.0
04013422639,2010,4240.0
04013422640,2010,4175.0
04013422641,2010,3940.0
04013422642,2010,4602.0
04013422643,2010,4692.0
04013422644,2010,5408.0
04013422646,2010,3596.0
04013522800,2010,1954.0
04013522901,2010,2177.0
04013522903,2010,1085.0
04013522904,2010,782.0
04013523002,2010,2807.0
04013523003,2010,3298.0
04013523005,2010,3013.0
04013523006,2010,3261.0
04013523102,2010,1751.0
04013523103,2010,3160.0
04013523104,2010,2442.0
04013610000,2010,4934.0
04013610100,2010,459.0
04013610200,2010,5845.0
04013610300,2010,5989.0
04013610400,2010,4165.0
04013610500,2010,4669.0
04013610600,2010,4380.0
04013610700,2010,5227.0
04013610800,2010,1596.0
04013610900,2010,4538.0
04013611000,2010,1669.0
04013611100,2010,2174.0
04013611200,2010,4366.0
04013611300,2010,2516.0
04013611400,2010,4217.0
04013611500,2010,3079.0
04013611600,2010,2615.0
04013611700,2010,5916.0
04013611800,2010,6704.0
04013611900,2010,1965.0
04013612000,2010,1714.0
04013612200,2010,1937.0
04013612300,2010,3661.0
04013612400,2010,4962.0
04013612500,2010,3845.0
04013612600,2010,1759.0
04013612700,2010,2230.0
04013612800,2010,1586.0
04013612900,2010,1936.0
04013613000,2010,2640.0
04013613100,2010,2700.0
04013613200,2010,2591.0
04013613300,2010,5758.0
04013613400,2010,3250.0
04013613500,2010,3419.0
04013613600,2010,3201.0
04013613700,2010,4532.0
04013613800,2010,3637.0
04013613900,2010,4924.0
04013614000,2010,4139.0
04013614100,2010,4241.0
04013614200,2010,4248.0
04013614300,2010,2711.0
04013614400,2010,3024.0
04013614500,2010,3030.0
04013614600,2010,5028.0
04013614700,2010,2134.0
04013614800,2010,3121.0
04013614900,2010,2918.0
04013615000,2010,4215.0
04013615100,2010,3005.0
04013615200,2010,4014.0
04013615300,2010,2329.0
04013615400,2010,2604.0
04013615500,2010,2639.0
04013615600,2010,3444.0
04013615700,2010,2298.0
04013615800,2010,4044.0
