id,year,upt
42,1996,144804547
42,1997,170380432
42,1998,158263988
42,1999,163801369
42,2000,167067140
42,2001,164077582
42,2002,159357652
42,2003,142762444
42,2004,136157132
42,2005,142385899
42,2006,138403312
42,2007,147523544
42,2008,150912988
42,2009,156542393
42,2010,146249114
42,2011,139873115
42,2012,134889690
42,2013,129901379
42,2014,129123254
42,2015,136029205
42,2016,133383107
42,2017,126428706
43,1991,2346871
43,1992,2545444
43,1993,2587347
43,1994,2833206
43,1995,2924972
43,1996,3116264
43,1997,2682170
43,1998,2568643
43,1999,2356525
43,2000,2947333
43,2001,2936206
43,2002,6308144
43,2003,6195725
43,2004,11400942
43,2005,7855706
43,2006,10090963
43,2007,9189552
43,2008,9808564
43,2009,9890165
43,2010,9624202
43,2011,9570874
43,2012,9062135
43,2013,8680818
43,2014,8238787
43,2015,8188761
43,2016,7791851
43,2017,7000327
44,1991,297431367
44,1992,323686321
44,1993,336933977
44,1994,398827013
44,1995,321885416
44,1996,313170580
44,1997,319705436
44,1998,339735330
44,1999,354965815
44,2000,354860333
44,2001,364337295
44,2002,388975811
44,2003,388605206
44,2004,389910299
44,2005,394850846
44,2006,380260730
44,2007,357578991
44,2008,370718600
44,2009,367247601
44,2010,356060335
44,2011,380694311
44,2012,401616849
44,2013,395253978
44,2014,409248438
44,2015,405950873
44,2016,403003734
44,2017,382676332
45,1991,6455605
45,1992,6492131
45,1993,6848507
45,1994,7088054
45,1995,7492678
45,1996,7031326
45,1997,7079404
45,1998,7052149
45,1999,7201395
45,2000,7513873
45,2001,7632884
45,2002,6835748
45,2003,6321603
45,2004,6176786
45,2005,6691414
45,2006,6413397
45,2007,6613959
45,2008,7280243
45,2009,7820848
45,2010,7327821
45,2011,7626853
45,2012,7660221
45,2013,8008923
45,2014,8214619
45,2015,8575014
45,2016,8745176
45,2017,8558128
46,1991,80886653
46,1992,75762094
46,1993,66419318
46,1994,61478828
46,1995,57027220
46,1996,46303648
46,1997,54628537
46,1998,55353407
46,1999,42318646
46,2000,44042397
46,2001,41435881
46,2002,39965400
46,2003,38032201
46,2004,34721678
46,2005,35607433
46,2006,37281540
46,2007,35402314
46,2008,38036640
46,2009,38864643
46,2010,36657274
46,2011,35907731
46,2012,33021811
46,2013,31181285
46,2014,25405053
46,2015,24183867
46,2016,27416184
46,2017,24894081
47,1991,11959153
47,1992,9503985
47,1993,9832713
47,1994,10145202
47,1995,9808912
47,1996,9858630
47,1997,9677215
47,1998,9048286
47,1999,10289824
47,2000,11598290
47,2001,12731088
47,2002,11640559
47,2003,9205004
47,2004,9748883
47,2005,10610446
47,2006,11725487
47,2007,11849113
47,2008,12825481
47,2009,13555982
47,2010,12194271
47,2011,11405960
47,2012,11379228
47,2013,10114794
47,2014,9906717
47,2015,9798638
47,2016,9426956
47,2017,8614722
48,1991,3180640
48,1992,2533813
48,1993,2518916
48,1994,2393830
48,1995,1871324
48,1996,2048852
48,1997,1710988
48,1998,1989104
48,1999,762979
48,2000,1485856
48,2001,2197164
48,2002,2186563
48,2003,1267927
48,2004,922644
48,2005,1340646
48,2006,2307909
48,2007,2307804
48,2008,2315395
48,2009,1941501
48,2010,2161440
48,2011,2328131
48,2012,3552531
48,2013,3514823
48,2014,3390412
48,2015,3680382
48,2016,3475624
48,2017,4529310
49,1991,1279346
49,1992,1643953
49,1993,2132363
49,1994,32489539
49,1995,34433248
49,1996,30183517
49,1997,31202363
49,1998,32135155
49,1999,33076912
49,2000,32236161
49,2001,31599457
49,2002,36999219
49,2003,41103722
49,2004,41337262
49,2005,45733453
49,2006,49302895
49,2007,50590609
49,2008,53145740
49,2009,51103672
49,2010,37700632
49,2011,37126903
49,2012,37977988
49,2013,41300585
49,2014,40850119
49,2015,38684567
49,2016,34156165
49,2017,39314689
50,1991,0
50,1992,0
50,1993,0
50,1994,0
50,1995,0
50,1996,0
50,1997,0
50,1998,0
50,1999,0
50,2000,0
50,2001,0
50,2002,0
50,2003,0
50,2004,0
50,2005,0
50,2006,0
50,2007,0
50,2008,0
50,2009,5580857
50,2010,12112733
50,2011,12793529
50,2012,13553490
50,2013,14286093
50,2014,14331488
50,2015,14276884
50,2016,15574737
50,2017,16511814
51,1991,937088
51,1992,1072826
51,1993,1516649
51,1994,1746291
51,1995,2432117
51,1996,2760715
51,1997,3223133
51,1998,2816318
51,1999,3296605
51,2000,3316675
51,2001,3365112
51,2002,0
51,2003,4132041
51,2004,4345618
51,2005,6587374
51,2006,6134313
51,2007,6714901
51,2008,10099539
51,2009,10125814
51,2010,7747543
51,2011,8088452
51,2012,9280120
51,2013,9958600
51,2014,18230812
51,2015,17601086
51,2016,16668271
51,2017,15380743
52,1991,264992
52,1992,228836
52,1993,200737
52,1994,262984
52,1995,316941
52,1996,550565
52,1997,685120
52,1998,751665
52,1999,845997
52,2000,898902
52,2001,1058330
52,2002,954909
52,2003,934002
52,2004,869323
52,2005,1076700
52,2006,1357763
52,2007,1493519
52,2008,1906624
52,2009,2104252
52,2010,1943537
52,2011,2243730
52,2012,2432673
52,2013,2325275
52,2014,2177797
52,2015,2263124
52,2016,2236439
52,2017,2190974
